InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538895,47040,JUMBO BAG RED RETROSPOT,13,2024-11-04,3.55,10322,Australia
538895,93961,ASSORTED COLOUR BIRD ORNAMENT,7,2024-11-04,23.85,10322,Australia
538895,75473,PARTY BUNTING,8,2024-11-04,6.64,10322,Australia
538895,22201,PARTY BUNTING,6,2024-11-04,24.43,10322,Australia
538840,87482,SET OF 3 CAKE TINS,11,2024-11-08,31.19,10316,Australia
538840,87788,JUMBO BAG RED RETROSPOT,15,2024-11-08,24.76,10316,Australia
538840,41525,POSTAGE,2,2024-11-08,28.95,10316,Australia
538840,23148,PARTY BUNTING,8,2024-11-08,18.81,10316,Australia
541472,63619,JUMBO BAG RED RETROSPOT,4,2024-11-09,36.69,10643,Australia
541472,20379,JUMBO BAG RED RETROSPOT,15,2024-11-09,10.67,10643,Australia
541472,24893,JUMBO BAG RED RETROSPOT,3,2024-11-09,43.03,10643,Australia
541472,24090,WHITE HANGING HEART T-LIGHT HOLDER,7,2024-11-09,17.03,10643,Australia
541472,53883,PARTY BUNTING,17,2024-11-09,20.02,10643,Australia
541134,68798,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-11-10,22.96,10601,France
536712,77110,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-11-10,13.68,10076,Spain
536712,44830,PARTY BUNTING,4,2024-11-10,16.11,10076,Spain
539157,84776,SET OF 3 CAKE TINS,17,2024-11-10,31.46,10352,Spain
539157,43158,REGENCY CAKESTAND 3 TIER,4,2024-11-10,5.93,10352,Spain
539157,87247,WHITE HANGING HEART T-LIGHT HOLDER,16,2024-11-10,19.29,10352,Spain
536712,61639,PARTY BUNTING,13,2024-11-10,37.99,10076,Spain
539157,62060,POSTAGE,4,2024-11-10,33.99,10352,Spain
536712,13178,JUMBO BAG RED RETROSPOT,14,2024-11-10,31.07,10076,Spain
541134,62522,REGENCY CAKESTAND 3 TIER,5,2024-11-10,5.8,10601,France
541134,58760,SET OF 3 CAKE TINS,11,2024-11-10,40.7,10601,France
536712,53098,WHITE HANGING HEART T-LIGHT HOLDER,11,2024-11-10,16.42,10076,Spain
538839,47775,REGENCY CAKESTAND 3 TIER,7,2024-11-12,33.52,10316,Australia
538839,28398,REGENCY CAKESTAND 3 TIER,9,2024-11-12,33.48,10316,Australia
538839,26659,REGENCY CAKESTAND 3 TIER,16,2024-11-12,19.79,10316,Australia
538839,53271,ASSORTED COLOUR BIRD ORNAMENT,2,2024-11-12,22.74,10316,Australia
541132,30819,JUMBO BAG RED RETROSPOT,12,2024-11-13,4.65,10601,France
541132,75753,LUNCH BAG BLACK SKULL,7,2024-11-13,6.9,10601,France
541132,75727,REGENCY CAKESTAND 3 TIER,6,2024-11-13,28.74,10601,France
541132,97494,POSTAGE,14,2024-11-13,25.51,10601,France
541132,40338,JUMBO BAG RED RETROSPOT,9,2024-11-13,19.28,10601,France
541132,35869,ASSORTED COLOUR BIRD ORNAMENT,6,2024-11-13,33.41,10601,France
540604,84197,SET OF 3 CAKE TINS,4,2024-11-16,11.76,10530,France
540604,49370,PARTY BUNTING,3,2024-11-16,28.86,10530,France
541478,81432,REGENCY CAKESTAND 3 TIER,7,2024-11-16,24.43,10646,Australia
540604,85800,SET OF 3 CAKE TINS,5,2024-11-16,21.01,10530,France
541478,30719,REGENCY CAKESTAND 3 TIER,17,2024-11-16,36.05,10646,Australia
541478,96089,ASSORTED COLOUR BIRD ORNAMENT,1,2024-11-16,30.7,10646,Australia
540604,42455,JUMBO BAG RED RETROSPOT,4,2024-11-16,2.41,10530,France
538703,78133,REGENCY CAKESTAND 3 TIER,10,2024-11-17,44.75,10300,Spain
538703,78001,ASSORTED COLOUR BIRD ORNAMENT,13,2024-11-17,16.2,10300,Spain
538703,90820,ASSORTED COLOUR BIRD ORNAMENT,7,2024-11-17,33.46,10300,Spain
538703,37926,LUNCH BAG BLACK SKULL,9,2024-11-17,11.34,10300,Spain
538703,76788,LUNCH BAG BLACK SKULL,8,2024-11-17,20.59,10300,Spain
536714,57820,LUNCH BAG BLACK SKULL,2,2024-11-18,36.68,10076,Spain
536714,88158,ASSORTED COLOUR BIRD ORNAMENT,10,2024-11-18,14.51,10076,Spain
536714,49839,SET OF 3 CAKE TINS,16,2024-11-18,18.46,10076,Spain
536714,36256,ASSORTED COLOUR BIRD ORNAMENT,7,2024-11-18,2.29,10076,Spain
536714,30689,POSTAGE,16,2024-11-18,30.03,10076,Spain
541480,84664,ASSORTED COLOUR BIRD ORNAMENT,16,2024-11-20,9.56,10646,Australia
539234,14588,JUMBO BAG RED RETROSPOT,3,2024-11-23,39.5,10360,Germany
541307,53135,REGENCY CAKESTAND 3 TIER,11,2024-11-23,32.01,10626,Netherlands
541307,78299,LUNCH BAG BLACK SKULL,10,2024-11-23,15.86,10626,Netherlands
541307,22687,ASSORTED COLOUR BIRD ORNAMENT,15,2024-11-23,14.18,10626,Netherlands
539234,77309,PARTY BUNTING,3,2024-11-23,30.6,10360,Germany
539234,68574,ASSORTED COLOUR BIRD ORNAMENT,13,2024-11-23,30.61,10360,Germany
539234,37113,WHITE HANGING HEART T-LIGHT HOLDER,5,2024-11-23,42.26,10360,Germany
539234,13430,REGENCY CAKESTAND 3 TIER,7,2024-11-23,28.54,10360,Germany
541307,58889,JUMBO BAG RED RETROSPOT,11,2024-11-23,33.63,10626,Netherlands
539234,43965,SET OF 3 CAKE TINS,1,2024-11-23,9.85,10360,Germany
536829,69460,SET OF 3 CAKE TINS,16,2024-11-24,10.37,10084,United Kingdom
536829,69931,LUNCH BAG BLACK SKULL,16,2024-11-24,43.48,10084,United Kingdom
540217,98628,POSTAGE,4,2024-11-24,12.15,10486,Australia
536829,41437,PARTY BUNTING,14,2024-11-24,22.96,10084,United Kingdom
536829,47732,ASSORTED COLOUR BIRD ORNAMENT,2,2024-11-24,37.58,10084,United Kingdom
536829,61065,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-11-24,17.77,10084,United Kingdom
541277,90114,POSTAGE,11,2024-11-27,36.91,10620,United Kingdom
541470,46948,POSTAGE,7,2024-11-27,10.5,10643,Australia
541470,41631,POSTAGE,15,2024-11-27,43.95,10643,Australia
541277,92330,POSTAGE,2,2024-11-27,25.02,10620,United Kingdom
541470,39249,POSTAGE,4,2024-11-27,42.8,10643,Australia
541277,97520,REGENCY CAKESTAND 3 TIER,2,2024-11-27,21.45,10620,United Kingdom
541470,97668,ASSORTED COLOUR BIRD ORNAMENT,9,2024-11-27,8.96,10643,Australia
541470,12997,POSTAGE,16,2024-11-27,9.54,10643,Australia
541470,79366,POSTAGE,14,2024-11-27,21.0,10643,Australia
541277,46625,WHITE HANGING HEART T-LIGHT HOLDER,14,2024-11-27,21.32,10620,United Kingdom
540605,77918,LUNCH BAG BLACK SKULL,16,2024-11-28,19.61,10530,France
537220,71074,REGENCY CAKESTAND 3 TIER,1,2024-11-30,40.1,10128,United Kingdom
537220,29058,JUMBO BAG RED RETROSPOT,16,2024-11-30,39.7,10128,United Kingdom
537220,21360,PARTY BUNTING,4,2024-11-30,18.88,10128,United Kingdom
537220,56064,JUMBO BAG RED RETROSPOT,12,2024-11-30,8.78,10128,United Kingdom
537220,34562,ASSORTED COLOUR BIRD ORNAMENT,17,2024-11-30,20.49,10128,United Kingdom
537220,13881,ASSORTED COLOUR BIRD ORNAMENT,15,2024-11-30,25.93,10128,United Kingdom
541275,60007,REGENCY CAKESTAND 3 TIER,3,2024-12-02,30.65,10620,United Kingdom
541275,90742,WHITE HANGING HEART T-LIGHT HOLDER,8,2024-12-02,4.14,10620,United Kingdom
541275,57110,LUNCH BAG BLACK SKULL,6,2024-12-02,35.67,10620,United Kingdom
541275,47968,ASSORTED COLOUR BIRD ORNAMENT,9,2024-12-02,20.73,10620,United Kingdom
541275,12567,SET OF 3 CAKE TINS,9,2024-12-02,44.78,10620,United Kingdom
539561,42485,POSTAGE,16,2024-12-03,9.16,10401,Australia
540956,56351,ASSORTED COLOUR BIRD ORNAMENT,16,2024-12-03,26.85,10577,Spain
539561,26269,LUNCH BAG BLACK SKULL,11,2024-12-03,34.39,10401,Australia
540956,79804,JUMBO BAG RED RETROSPOT,14,2024-12-03,39.19,10577,Spain
539232,57550,SET OF 3 CAKE TINS,16,2024-12-03,32.79,10360,Germany
540956,41327,POSTAGE,1,2024-12-03,3.17,10577,Spain
539561,51015,LUNCH BAG BLACK SKULL,9,2024-12-03,13.21,10401,Australia
539561,69030,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-12-03,30.09,10401,Australia
539561,59125,REGENCY CAKESTAND 3 TIER,17,2024-12-03,21.5,10401,Australia
539232,18559,SET OF 3 CAKE TINS,17,2024-12-03,31.07,10360,Germany
538330,42351,ASSORTED COLOUR BIRD ORNAMENT,14,2024-12-07,15.07,10259,Spain
538330,44746,REGENCY CAKESTAND 3 TIER,17,2024-12-07,13.72,10259,Spain
538330,39680,REGENCY CAKESTAND 3 TIER,17,2024-12-07,13.72,10259,Spain
538330,77043,LUNCH BAG BLACK SKULL,7,2024-12-07,24.38,10259,Spain
538330,21782,JUMBO BAG RED RETROSPOT,16,2024-12-07,5.85,10259,Spain
538621,99388,REGENCY CAKESTAND 3 TIER,4,2024-12-10,16.58,10293,Australia
538621,75020,POSTAGE,16,2024-12-10,18.87,10293,Australia
538621,59478,PARTY BUNTING,17,2024-12-10,28.95,10293,Australia
540418,59694,PARTY BUNTING,10,2024-12-12,8.73,10509,Netherlands
540418,40692,POSTAGE,5,2024-12-12,32.26,10509,Netherlands
540418,33815,ASSORTED COLOUR BIRD ORNAMENT,9,2024-12-12,37.13,10509,Netherlands
540954,80552,PARTY BUNTING,2,2024-12-12,40.43,10577,Spain
540954,11119,REGENCY CAKESTAND 3 TIER,9,2024-12-12,20.63,10577,Spain
540418,68054,PARTY BUNTING,13,2024-12-12,20.81,10509,Netherlands
541476,46690,REGENCY CAKESTAND 3 TIER,8,2024-12-14,10.1,10646,Australia
541476,69536,POSTAGE,8,2024-12-14,24.51,10646,Australia
541476,11441,JUMBO BAG RED RETROSPOT,7,2024-12-14,42.56,10646,Australia
536597,67187,LUNCH BAG BLACK SKULL,10,2024-12-15,28.81,10056,Australia
536597,28534,POSTAGE,9,2024-12-15,4.63,10056,Australia
536597,20494,PARTY BUNTING,6,2024-12-15,38.15,10056,Australia
536597,12458,POSTAGE,10,2024-12-15,7.95,10056,Australia
536597,34103,ASSORTED COLOUR BIRD ORNAMENT,14,2024-12-15,21.99,10056,Australia
541311,46212,POSTAGE,12,2024-12-17,27.82,10626,Netherlands
538835,54492,PARTY BUNTING,7,2024-12-17,40.42,10315,Spain
538835,97855,REGENCY CAKESTAND 3 TIER,17,2024-12-17,9.42,10315,Spain
538835,97481,SET OF 3 CAKE TINS,4,2024-12-17,15.0,10315,Spain
538835,77772,PARTY BUNTING,10,2024-12-17,32.24,10315,Spain
541311,64675,LUNCH BAG BLACK SKULL,5,2024-12-17,6.68,10626,Netherlands
541479,15697,ASSORTED COLOUR BIRD ORNAMENT,13,2024-12-20,11.92,10646,Australia
541479,29743,SET OF 3 CAKE TINS,2,2024-12-20,41.66,10646,Australia
541479,75991,REGENCY CAKESTAND 3 TIER,10,2024-12-20,36.02,10646,Australia
540732,23071,SET OF 3 CAKE TINS,15,2024-12-21,34.41,10553,France
540732,26491,JUMBO BAG RED RETROSPOT,17,2024-12-21,25.27,10553,France
540732,32890,LUNCH BAG BLACK SKULL,2,2024-12-21,18.12,10553,France
536594,23947,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-12-22,9.12,10056,Australia
536594,21546,LUNCH BAG BLACK SKULL,3,2024-12-22,10.39,10056,Australia
536594,52182,SET OF 3 CAKE TINS,6,2024-12-22,37.53,10056,Australia
536594,61899,WHITE HANGING HEART T-LIGHT HOLDER,11,2024-12-22,14.44,10056,Australia
536672,63003,PARTY BUNTING,10,2024-12-23,22.45,10071,Germany
536672,12274,JUMBO BAG RED RETROSPOT,14,2024-12-23,21.62,10071,Germany
536672,15291,ASSORTED COLOUR BIRD ORNAMENT,14,2024-12-23,40.37,10071,Germany
537309,75864,JUMBO BAG RED RETROSPOT,12,2024-12-25,27.09,10137,United Kingdom
537109,82663,POSTAGE,8,2024-12-25,29.84,10115,United Kingdom
537309,89479,PARTY BUNTING,14,2024-12-25,35.02,10137,United Kingdom
537109,40243,WHITE HANGING HEART T-LIGHT HOLDER,17,2024-12-25,33.91,10115,United Kingdom
541562,23443,SET OF 3 CAKE TINS,13,2024-12-27,16.63,10655,Spain
541562,46664,REGENCY CAKESTAND 3 TIER,13,2024-12-27,20.38,10655,Spain
541562,16618,POSTAGE,15,2024-12-27,28.59,10655,Spain
541562,33383,LUNCH BAG BLACK SKULL,1,2024-12-27,8.13,10655,Spain
541562,84662,PARTY BUNTING,15,2024-12-27,9.95,10655,Spain
541562,79559,POSTAGE,16,2024-12-27,8.76,10655,Spain
538494,67146,JUMBO BAG RED RETROSPOT,3,2024-12-28,13.41,10273,Australia
538494,22472,LUNCH BAG BLACK SKULL,7,2024-12-28,25.06,10273,Australia
538494,25887,JUMBO BAG RED RETROSPOT,6,2024-12-28,28.14,10273,Australia
538494,20478,PARTY BUNTING,12,2024-12-28,39.52,10273,Australia
538494,63805,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-12-28,35.65,10273,Australia
538494,84380,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-12-28,15.84,10273,Australia
536224,80624,LUNCH BAG BLACK SKULL,1,2024-12-29,43.61,10017,Spain
538701,27427,PARTY BUNTING,1,2024-12-29,14.85,10300,Spain
538701,36768,PARTY BUNTING,12,2024-12-29,11.79,10300,Spain
538701,59264,REGENCY CAKESTAND 3 TIER,10,2024-12-29,15.07,10300,Spain
536224,93391,LUNCH BAG BLACK SKULL,15,2024-12-29,8.11,10017,Spain
538701,44801,WHITE HANGING HEART T-LIGHT HOLDER,13,2024-12-29,22.19,10300,Spain
536224,20366,PARTY BUNTING,16,2024-12-29,26.25,10017,Spain
538701,20848,PARTY BUNTING,10,2024-12-29,9.45,10300,Spain
536224,24941,ASSORTED COLOUR BIRD ORNAMENT,10,2024-12-29,13.33,10017,Spain
536224,25297,JUMBO BAG RED RETROSPOT,10,2024-12-29,37.18,10017,Spain
536224,40323,LUNCH BAG BLACK SKULL,13,2024-12-29,4.53,10017,Spain
538701,56023,REGENCY CAKESTAND 3 TIER,9,2024-12-29,16.81,10300,Spain
541035,78426,PARTY BUNTING,1,2024-12-30,43.74,10592,France
541035,68663,PARTY BUNTING,6,2024-12-30,5.23,10592,France
541035,71222,ASSORTED COLOUR BIRD ORNAMENT,5,2024-12-30,13.08,10592,France
541035,21968,PARTY BUNTING,13,2024-12-30,20.54,10592,France
541035,13832,SET OF 3 CAKE TINS,7,2024-12-30,28.43,10592,France
541035,98079,LUNCH BAG BLACK SKULL,4,2024-12-30,7.13,10592,France
537089,75156,JUMBO BAG RED RETROSPOT,7,2024-12-30,27.17,10111,United Kingdom
538842,56104,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-12-30,38.32,10316,Australia
537089,73239,SET OF 3 CAKE TINS,1,2024-12-30,6.36,10111,United Kingdom
537089,30616,SET OF 3 CAKE TINS,10,2024-12-30,42.23,10111,United Kingdom
537089,40911,JUMBO BAG RED RETROSPOT,10,2024-12-30,14.51,10111,United Kingdom
538842,65186,JUMBO BAG RED RETROSPOT,5,2024-12-30,17.98,10316,Australia
541088,73072,PARTY BUNTING,14,2024-12-31,2.27,10598,Spain
541088,86486,PARTY BUNTING,10,2024-12-31,22.4,10598,Spain
541088,55860,REGENCY CAKESTAND 3 TIER,14,2024-12-31,25.79,10598,Spain
541088,90491,POSTAGE,13,2024-12-31,31.41,10598,Spain
541087,88535,PARTY BUNTING,2,2025-01-01,9.43,10598,Spain
541087,45128,JUMBO BAG RED RETROSPOT,11,2025-01-01,14.69,10598,Spain
541087,42230,WHITE HANGING HEART T-LIGHT HOLDER,3,2025-01-01,41.35,10598,Spain
541087,41059,POSTAGE,7,2025-01-01,9.16,10598,Spain
540208,12438,ASSORTED COLOUR BIRD ORNAMENT,4,2025-01-03,19.74,10483,United Kingdom
539159,59000,LUNCH BAG BLACK SKULL,1,2025-01-05,42.84,10352,Spain
539159,67905,POSTAGE,7,2025-01-05,41.36,10352,Spain
539159,99528,LUNCH BAG BLACK SKULL,10,2025-01-05,28.47,10352,Spain
539159,43774,REGENCY CAKESTAND 3 TIER,16,2025-01-05,5.24,10352,Spain
538289,64151,WHITE HANGING HEART T-LIGHT HOLDER,17,2025-01-06,29.44,10254,France
538289,58963,LUNCH BAG BLACK SKULL,3,2025-01-06,6.4,10254,France
538289,92412,REGENCY CAKESTAND 3 TIER,14,2025-01-06,7.45,10254,France
541325,52791,REGENCY CAKESTAND 3 TIER,17,2025-01-06,44.05,10629,Australia
541325,66604,ASSORTED COLOUR BIRD ORNAMENT,2,2025-01-06,28.69,10629,Australia
540396,51446,PARTY BUNTING,17,2025-01-06,39.2,10507,France
541325,21400,WHITE HANGING HEART T-LIGHT HOLDER,8,2025-01-06,38.12,10629,Australia
541325,85045,JUMBO BAG RED RETROSPOT,9,2025-01-06,35.64,10629,Australia
538289,35284,WHITE HANGING HEART T-LIGHT HOLDER,6,2025-01-06,43.59,10254,France
540395,65692,SET OF 3 CAKE TINS,5,2025-01-07,43.56,10507,France
541217,52165,POSTAGE,11,2025-01-09,41.81,10614,Netherlands
541217,24797,ASSORTED COLOUR BIRD ORNAMENT,13,2025-01-09,17.99,10614,Netherlands
541217,13150,POSTAGE,16,2025-01-09,31.53,10614,Netherlands
538898,55930,SET OF 3 CAKE TINS,6,2025-01-10,3.64,10322,Australia
538898,72685,LUNCH BAG BLACK SKULL,13,2025-01-10,3.47,10322,Australia
538898,65523,REGENCY CAKESTAND 3 TIER,8,2025-01-10,10.97,10322,Australia
539233,67194,JUMBO BAG RED RETROSPOT,6,2025-01-10,11.51,10360,Germany
539233,95427,ASSORTED COLOUR BIRD ORNAMENT,17,2025-01-10,24.2,10360,Germany
539233,84933,PARTY BUNTING,8,2025-01-10,8.83,10360,Germany
539233,65065,SET OF 3 CAKE TINS,4,2025-01-10,29.41,10360,Germany
539233,75814,SET OF 3 CAKE TINS,6,2025-01-10,4.03,10360,Germany
538898,50150,JUMBO BAG RED RETROSPOT,8,2025-01-10,2.27,10322,Australia
539233,57640,REGENCY CAKESTAND 3 TIER,2,2025-01-10,10.04,10360,Germany
538898,65740,LUNCH BAG BLACK SKULL,16,2025-01-10,14.22,10322,Australia
537876,42460,POSTAGE,3,2025-01-11,42.36,10207,Germany
537876,24163,JUMBO BAG RED RETROSPOT,10,2025-01-11,9.74,10207,Germany
537876,52299,LUNCH BAG BLACK SKULL,11,2025-01-11,40.34,10207,Germany
537876,13666,LUNCH BAG BLACK SKULL,3,2025-01-11,25.09,10207,Germany
537876,54728,PARTY BUNTING,14,2025-01-11,23.23,10207,Germany
538331,27806,JUMBO BAG RED RETROSPOT,14,2025-01-13,11.34,10259,Spain
538331,21043,JUMBO BAG RED RETROSPOT,3,2025-01-13,40.8,10259,Spain
538331,98721,SET OF 3 CAKE TINS,11,2025-01-13,27.94,10259,Spain
538331,51010,JUMBO BAG RED RETROSPOT,15,2025-01-13,32.8,10259,Spain
538331,24101,REGENCY CAKESTAND 3 TIER,2,2025-01-13,3.98,10259,Spain
541039,87249,LUNCH BAG BLACK SKULL,13,2025-01-14,17.54,10592,France
541039,45194,WHITE HANGING HEART T-LIGHT HOLDER,5,2025-01-14,11.18,10592,France
541773,56639,JUMBO BAG RED RETROSPOT,10,2025-01-14,14.16,10678,France
541773,34276,POSTAGE,7,2025-01-14,33.19,10678,France
541039,62596,SET OF 3 CAKE TINS,3,2025-01-14,30.83,10592,France
541773,25192,ASSORTED COLOUR BIRD ORNAMENT,15,2025-01-14,39.32,10678,France
541039,99284,PARTY BUNTING,17,2025-01-14,9.25,10592,France
541773,72504,ASSORTED COLOUR BIRD ORNAMENT,15,2025-01-14,5.66,10678,France
541773,90410,REGENCY CAKESTAND 3 TIER,14,2025-01-14,39.85,10678,France
541773,65248,POSTAGE,2,2025-01-14,44.38,10678,France
541039,32310,SET OF 3 CAKE TINS,12,2025-01-14,28.67,10592,France
541039,33890,REGENCY CAKESTAND 3 TIER,14,2025-01-14,32.41,10592,France
540216,25510,WHITE HANGING HEART T-LIGHT HOLDER,3,2025-01-16,2.9,10486,Australia
538704,27140,LUNCH BAG BLACK SKULL,10,2025-01-17,23.25,10300,Spain
538704,22808,JUMBO BAG RED RETROSPOT,16,2025-01-17,5.39,10300,Spain
536593,68140,ASSORTED COLOUR BIRD ORNAMENT,5,2025-01-17,33.58,10056,Australia
